"","OTU_57","OTU_53","OTU_59","OTU_56","OTU_13","OTU_11","OTU_48","OTU_51","OTU_43","OTU_50","OTU_36","OTU_32","OTU_34","OTU_19","OTU_14","OTU_20","OTU_35","OTU_33","OTU_4","OTU_44","OTU_46","OTU_42","OTU_38","OTU_41","OTU_39","OTU_16","OTU_2","OTU_10","OTU_17","OTU_47","OTU_54","OTU_55","OTU_49","OTU_15","OTU_5","OTU_40","OTU_12","OTU_7","OTU_8","OTU_21","OTU_18","OTU_45","OTU_6","OTU_30","OTU_25","OTU_29","OTU_3","OTU_22","OTU_1","OTU_31","OTU_27","OTU_9","OTU_23","OTU_58","OTU_28","OTU_52","OTU_26","OTU_37","OTU_24"
"ADE_21_00404",47044,0,26448,0,10282,8759,0,0,0,0,0,419,0,0,2792,0,0,0,14545,0,0,0,0,0,0,4409,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00405",9889,0,4292,0,4629,3748,0,1685,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00407",23083,0,10459,0,8807,10319,0,0,0,0,0,0,0,0,27098,0,0,0,31636,0,0,0,0,0,0,6007,0,1929,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00408",15638,0,12393,0,18583,21128,0,0,0,2830,0,0,0,0,8523,0,0,0,4109,0,0,0,0,0,0,2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00409",0,0,33737,0,43832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00410",11086,28431,0,0,0,0,0,0,0,0,0,550,0,0,3330,0,0,0,13579,0,9257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00411",11209,0,26499,0,11432,0,0,0,0,0,0,0,0,0,6807,0,0,0,37339,0,0,0,0,0,0,8481,563,0,0,0,0,23496,0,0,0,0,0,0,1801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00412",14745,10444,2598,0,5170,16641,0,0,0,0,0,0,0,0,10546,0,0,0,16722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00413",24090,19426,0,0,0,0,0,0,0,0,0,0,0,0,3942,0,0,0,185865,0,0,0,0,0,0,2472,410,0,0,0,0,0,0,0,939,0,0,526,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00414",60320,0,26577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00415",44906,0,0,0,0,10836,0,0,0,0,0,0,0,0,0,0,0,0,5198,0,0,0,0,0,0,0,3112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00416",14099,33347,0,0,15666,0,0,0,0,0,0,0,0,0,0,0,0,0,9958,0,0,0,0,0,20520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00417",51556,4958,3548,0,14831,0,0,0,0,0,0,0,0,0,0,0,0,0,28589,0,0,0,0,0,0,15541,2001,2453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
