"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif","group","Locus"
"125",132.144945018168,-0.591572757992246,0.001,0.005,"3D","yes","Fall2020","MiFishU"
"126",158.573934021802,-0.181977345003533,0.034,0.204,"3D","no","Fall2020","MiFishU"
"127",185.002923025436,0.0771359532087873,0.21,1.47,"3D","no","Fall2020","MiFishU"
"128",211.431912029069,0.241965309522306,0.001,0.008,"3D","yes","Fall2020","MiFishU"
"129",238.860901032703,0.203453839023006,0.005,0.045,"3D","yes","Fall2020","MiFishU"
"130",2.97076923076923,0.176035865951018,0.001,0.001,"Depth|2D","yes","Summer2021","MiFishU"
"131",5.94153846153846,-0.0610502884880628,0.007,0.014,"Depth|2D","yes","Summer2021","MiFishU"
"132",8.91230769230769,0.0421761622345945,0.013,0.039,"Depth|2D","yes","Summer2021","MiFishU"
"133",11.8830769230769,-0.256437626001002,0.001,0.004,"Depth|2D","yes","Summer2021","MiFishU"
"134",14.8538461538462,-0.14900503044145,0.001,0.005,"Depth|2D","yes","Summer2021","MiFishU"
"135",17.8246153846154,-0.143288035288095,0.001,0.006,"Depth|2D","yes","Summer2021","MiFishU"
"136",20.7953846153846,0.170322991876825,0.001,0.007,"Depth|2D","yes","Summer2021","MiFishU"
"137",23.7661538461538,0.144988903656876,0.001,0.008,"Depth|2D","yes","Summer2021","MiFishU"
"138",26.7369230769231,0.277234920017393,0.001,0.009,"Depth|2D","yes","Summer2021","MiFishU"
"139",29.7076923076923,-0.047107673114085,0.028,0.28,"Depth|2D","no","Summer2021","MiFishU"
"140",32.6784615384615,-0.122211478903589,0.001,0.011,"Depth|2D","yes","Summer2021","MiFishU"
"141",35.6492307692308,0.14294434896033,0.001,0.012,"Depth|2D","yes","Summer2021","MiFishU"
"142",39.62,-0.0601534615566166,0.002,0.026,"Depth|2D","yes","Summer2021","MiFishU"
"143",71.1757842493228,0.266832856399774,0.001,0.001,"2D|Depth","yes","Summer2021","MiFishU"
"144",142.351568498646,-0.00870642136945441,0.325,0.65,"2D|Depth","no","Summer2021","MiFishU"
"145",213.527352747968,-0.191072085652355,0.001,0.003,"2D|Depth","yes","Summer2021","MiFishU"
"146",284.703136997291,-0.055409352612723,0.007,0.028,"2D|Depth","yes","Summer2021","MiFishU"
"147",355.878921246614,-0.0537218005439022,0.021,0.105,"2D|Depth","no","Summer2021","MiFishU"
"148",427.054705495937,-0.202042850495147,0.001,0.006,"2D|Depth","yes","Summer2021","MiFishU"
"149",498.23048974526,0.160020578531879,0.001,0.007,"2D|Depth","yes","Summer2021","MiFishU"
"150",569.406273994582,0.288821585620886,0.001,0.008,"2D|Depth","yes","Summer2021","MiFishU"
"151",640.582058243905,-0.0081115404838779,0.356,3.204,"2D|Depth","no","Summer2021","MiFishU"
"152",711.757842493228,-0.13600036409156,0.001,0.01,"2D|Depth","yes","Summer2021","MiFishU"
"153",782.933626742551,-0.0182418258841088,0.165,1.815,"2D|Depth","no","Summer2021","MiFishU"
"154",854.109410991874,0.0623806396885284,0.003,0.036,"2D|Depth","yes","Summer2021","MiFishU"
"155",926.285195241196,-0.059393512029746,0.007,0.091,"2D|Depth","no","Summer2021","MiFishU"
"156",71.2361614063287,0.46013915500161,0.001,0.001,"3D","yes","Summer2021","MiFishU"
"157",142.472322812657,0.18270136073635,0.001,0.002,"3D","yes","Summer2021","MiFishU"
"158",213.708484218986,-0.00605750618729111,0.38,1.14,"3D","no","Summer2021","MiFishU"
"159",284.944645625315,0.0211800465082302,0.156,0.624,"3D","no","Summer2021","MiFishU"
"160",356.180807031644,0.000210950530722491,0.458,2.29,"3D","no","Summer2021","MiFishU"
"161",427.416968437972,-0.181584038628562,0.001,0.006,"3D","yes","Summer2021","MiFishU"
"162",498.653129844301,0.00570272998188856,0.425,2.975,"3D","no","Summer2021","MiFishU"
"163",569.88929125063,0.0825209731149666,0.001,0.008,"3D","yes","Summer2021","MiFishU"
"164",641.125452656958,-0.174157378855548,0.001,0.009,"3D","yes","Summer2021","MiFishU"
"165",712.361614063287,-0.300117222350092,0.001,0.01,"3D","yes","Summer2021","MiFishU"
"166",783.597775469616,-0.114289190010176,0.001,0.011,"3D","yes","Summer2021","MiFishU"
"167",854.833936875944,-0.185377745199775,0.001,0.012,"3D","yes","Summer2021","MiFishU"
"168",927.070098282273,-0.342966547638756,0.001,0.013,"3D","yes","Summer2021","MiFishU"
"169",2.85333333333333,0.299905894061433,0.001,0.001,"Depth|2D","yes","Spring2021","MiFishU"
"170",5.70666666666667,-0.0352830012575933,0.08,0.16,"Depth|2D","no","Spring2021","MiFishU"
"171",8.56,-0.0615965457944135,0.041,0.123,"Depth|2D","no","Spring2021","MiFishU"
"172",11.4133333333333,-0.0806518569319104,0.006,0.024,"Depth|2D","yes","Spring2021","MiFishU"
"173",14.2666666666667,-0.291591852416732,0.001,0.005,"Depth|2D","yes","Spring2021","MiFishU"
"174",17.12,-0.19543919702268,0.001,0.006,"Depth|2D","yes","Spring2021","MiFishU"
"175",19.9733333333333,0.0274720192294826,0.131,0.917,"Depth|2D","no","Spring2021","MiFishU"
"176",22.8266666666667,0.153468929151658,0.001,0.008,"Depth|2D","yes","Spring2021","MiFishU"
"177",25.68,0.196916193075154,0.001,0.009,"Depth|2D","yes","Spring2021","MiFishU"
"178",28.5333333333333,0.26849635530445,0.001,0.01,"Depth|2D","yes","Spring2021","MiFishU"
"179",31.3866666666667,0.196274439701232,0.001,0.011,"Depth|2D","yes","Spring2021","MiFishU"
"180",35.24,0.0409944383156606,0.032,0.384,"Depth|2D","no","Spring2021","MiFishU"
"181",73.2079403584048,0.357664852970396,0.001,0.001,"2D|Depth","yes","Spring2021","MiFishU"
"182",146.41588071681,0.0198229295595695,0.269,0.538,"2D|Depth","no","Spring2021","MiFishU"
"183",219.623821075214,-0.123314141754471,0.003,0.009,"2D|Depth","yes","Spring2021","MiFishU"
"184",292.831761433619,-0.0153073306797106,0.294,1.176,"2D|Depth","no","Spring2021","MiFishU"
"185",366.039701792024,-0.0994631289141647,0.01,0.05,"2D|Depth","no","Spring2021","MiFishU"
"186",439.247642150429,-0.548963763880124,0.001,0.006,"2D|Depth","yes","Spring2021","MiFishU"
"187",512.455582508834,0.320576227584368,0.001,0.007,"2D|Depth","yes","Spring2021","MiFishU"
"188",585.663522867238,NA,NA,NA,"2D|Depth",NA,"Spring2021","MiFishU"
"189",658.871463225643,0.196331322061186,0.001,0.009,"2D|Depth","yes","Spring2021","MiFishU"
"190",732.079403584048,0.2540356367371,0.001,0.01,"2D|Depth","yes","Spring2021","MiFishU"
"191",805.287343942453,0.122989917219145,0.001,0.011,"2D|Depth","yes","Spring2021","MiFishU"
"192",879.495284300858,0.108254520029904,0.002,0.024,"2D|Depth","yes","Spring2021","MiFishU"
"193",73.2594791666563,0.569313626668537,0.001,0.001,"3D","yes","Spring2021","MiFishU"
"194",146.518958333313,0.198955884343491,0.001,0.002,"3D","yes","Spring2021","MiFishU"
"195",219.778437499969,-0.00415918706833914,0.433,1.299,"3D","no","Spring2021","MiFishU"
"196",293.037916666625,-0.0127298395777312,0.309,1.236,"3D","no","Spring2021","MiFishU"
"197",366.297395833282,-0.161163178685841,0.001,0.005,"3D","yes","Spring2021","MiFishU"
"198",439.556874999938,-0.625950593117666,0.001,0.006,"3D","yes","Spring2021","MiFishU"
"199",512.816354166594,0.0747293042500771,0.014,0.098,"3D","no","Spring2021","MiFishU"
"200",586.075833333251,NA,NA,NA,"3D",NA,"Spring2021","MiFishU"
"201",659.335312499907,-0.011414100366139,0.339,3.051,"3D","no","Spring2021","MiFishU"
"202",732.594791666563,-0.00514596138099083,0.423,4.23,"3D","no","Spring2021","MiFishU"
"203",805.85427083322,-0.0322446441036612,0.081,0.891,"3D","no","Spring2021","MiFishU"
"204",880.113749999876,-0.267283666049359,0.001,0.012,"3D","yes","Spring2021","MiFishU"
"205",0.761,0.289168039237273,0.001,0.001,"Depth|2D","yes","Fall2020","16Schord"
"206",1.522,-0.103754807733812,0.032,0.064,"Depth|2D","no","Fall2020","16Schord"
"207",2.283,-0.0371851616495859,0.237,0.711,"Depth|2D","no","Fall2020","16Schord"
"208",3.044,-0.171175282491115,0.011,0.044,"Depth|2D","yes","Fall2020","16Schord"
"209",3.805,-0.0876210099449443,0.193,0.965,"Depth|2D","no","Fall2020","16Schord"
"210",4.566,-0.167979400850266,0.006,0.036,"Depth|2D","yes","Fall2020","16Schord"
"211",5.327,-0.0687822614823205,0.09,0.63,"Depth|2D","no","Fall2020","16Schord"
"212",6.088,-0.048333282963544,0.116,0.928,"Depth|2D","no","Fall2020","16Schord"
"213",6.849,0.147715332347879,0.009,0.081,"Depth|2D","no","Fall2020","16Schord"
"214",8.61,0.211211037278613,0.004,0.04,"Depth|2D","yes","Fall2020","16Schord"
"215",23.775521054246,0.384195084153431,0.001,0.001,"2D|Depth","yes","Fall2020","16Schord"
"216",47.551042108492,0.189402276635872,0.001,0.002,"2D|Depth","yes","Fall2020","16Schord"
"217",71.3265631627379,-0.0672067965711251,0.092,0.276,"2D|Depth","no","Fall2020","16Schord"
"218",95.1020842169839,-0.294342392281474,0.001,0.004,"2D|Depth","yes","Fall2020","16Schord"
"219",118.87760527123,-0.449087611013631,0.001,0.005,"2D|Depth","yes","Fall2020","16Schord"
"220",142.653126325476,-0.318556304979361,0.001,0.006,"2D|Depth","yes","Fall2020","16Schord"
"221",166.428647379722,-0.0601579370828128,0.114,0.798,"2D|Depth","no","Fall2020","16Schord"
"222",190.204168433968,0.200595059857769,0.001,0.008,"2D|Depth","yes","Fall2020","16Schord"
"223",213.979689488214,0.209450749276935,0.001,0.009,"2D|Depth","yes","Fall2020","16Schord"
"224",238.75521054246,0.168035083831097,0.004,0.04,"2D|Depth","yes","Fall2020","16Schord"
"225",23.7860901032703,0.311940303077624,0.001,0.001,"3D","yes","Fall2020","16Schord"
"226",47.5721802065406,0.164991189901228,0.001,0.002,"3D","yes","Fall2020","16Schord"
"227",71.3582703098109,-0.0925136296991148,0.035,0.105,"3D","no","Fall2020","16Schord"
"228",95.1443604130812,-0.305440811756486,0.001,0.004,"3D","yes","Fall2020","16Schord"
"229",118.930450516352,-0.449464153651462,0.001,0.005,"3D","yes","Fall2020","16Schord"
"230",142.716540619622,-0.300700081949537,0.001,0.006,"3D","yes","Fall2020","16Schord"
"231",166.502630722892,-0.0515987096620852,0.141,0.987,"3D","no","Fall2020","16Schord"
"232",190.288720826162,0.217741072233662,0.001,0.008,"3D","yes","Fall2020","16Schord"
"233",214.074810929433,0.225111705934384,0.001,0.009,"3D","yes","Fall2020","16Schord"
"234",238.860901032703,0.186883328434986,0.002,0.02,"3D","yes","Fall2020","16Schord"
"235",3.21833333333333,0.174601174686544,0.001,0.001,"Depth|2D","yes","Summer2021","16Schord"
"236",6.43666666666667,-0.0904254402617636,0.003,0.006,"Depth|2D","yes","Summer2021","16Schord"
"237",9.655,-0.0509082765714196,0.017,0.051,"Depth|2D","no","Summer2021","16Schord"
"238",12.8733333333333,-0.195085957863346,0.001,0.004,"Depth|2D","yes","Summer2021","16Schord"
"239",16.0916666666667,-0.100453221193977,0.001,0.005,"Depth|2D","yes","Summer2021","16Schord"
"240",19.31,-0.232216345733903,0.001,0.006,"Depth|2D","yes","Summer2021","16Schord"
"241",22.5283333333333,0.329509731408115,0.001,0.007,"Depth|2D","yes","Summer2021","16Schord"
"242",25.7466666666667,0.234224998336999,0.001,0.008,"Depth|2D","yes","Summer2021","16Schord"
"243",28.965,0.0948118428383042,0.001,0.009,"Depth|2D","yes","Summer2021","16Schord"
"244",32.1833333333333,-0.137598784457018,0.001,0.01,"Depth|2D","yes","Summer2021","16Schord"
"245",35.4016666666667,0.136063597298106,0.001,0.011,"Depth|2D","yes","Summer2021","16Schord"
"246",39.62,-0.056953297767411,0.01,0.12,"Depth|2D","no","Summer2021","16Schord"
"247",77.107099603433,0.265247850407762,0.001,0.001,"2D|Depth","yes","Summer2021","16Schord"
"248",154.214199206866,-0.0599442018962451,0.008,0.016,"2D|Depth","yes","Summer2021","16Schord"
