"","OTU_38","OTU_96","OTU_34","OTU_30","OTU_92","OTU_43","OTU_40","OTU_88","OTU_84","OTU_54","OTU_82","OTU_32","OTU_81","OTU_76","OTU_79","OTU_66","OTU_42","OTU_64","OTU_80","OTU_77","OTU_12","OTU_52","OTU_50","OTU_55","OTU_60","OTU_57","OTU_58","OTU_48","OTU_94","OTU_4","OTU_7","OTU_49","OTU_83","OTU_45","OTU_87","OTU_90","OTU_91","OTU_95","OTU_11","OTU_89","OTU_46","OTU_8","OTU_13","OTU_10","OTU_20","OTU_18","OTU_56","OTU_41","OTU_5","OTU_25","OTU_26","OTU_21","OTU_59","OTU_9","OTU_37","OTU_16","OTU_27","OTU_65","OTU_63","OTU_53","OTU_14","OTU_28","OTU_15","OTU_93","OTU_3","OTU_6","OTU_33","OTU_24","OTU_62","OTU_31","OTU_36","OTU_51","OTU_35","OTU_47","OTU_75","OTU_85","OTU_22","OTU_19","OTU_23","OTU_68","OTU_74","OTU_2","OTU_17","OTU_67","OTU_1","OTU_78","OTU_44","OTU_70","OTU_29","OTU_72","OTU_39","OTU_71","OTU_86","OTU_69","OTU_61","OTU_73"
"ADE_21_00408",15638,0,7429,4964,0,18583,21128,0,0,0,2830,0,0,0,0,0,8523,0,0,0,4109,0,0,0,0,0,0,2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00409",0,0,0,33737,0,43832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00410",11086,28431,0,0,0,0,0,0,0,0,0,0,0,550,0,0,3330,0,0,0,13471,0,9257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7545,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00411",11209,0,5639,20860,0,11432,0,0,0,0,0,0,0,0,0,0,6807,0,0,0,37339,0,0,0,0,0,0,8481,0,0,0,0,0,0,0,0,23496,0,0,0,0,0,0,0,0,0,0,0,563,0,1801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00412",14745,0,2598,0,0,5170,16641,0,0,0,0,0,0,0,0,0,10546,0,0,0,13889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00413",24090,19426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3942,0,0,0,182391,0,0,0,0,0,0,2472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,0,0,439,0,0,410,526,0,939,0,1794,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00414",60320,0,16286,10056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00415",44906,0,0,0,0,0,10836,0,0,0,0,0,0,0,0,0,0,0,0,0,5198,0,0,0,0,0,0,0,0,3112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00416",14099,33347,0,0,0,15666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9958,0,0,0,0,0,20520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00417",51556,0,0,3548,0,14831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28308,0,0,0,0,0,0,15541,0,2001,2453,0,0,0,0,0,0,4958,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
