"","sample_id","project","locus","seqdepth_ok","artefact_type","nb_reads_postmetabaR","nb_motus_postmetabaR"
"260","ADE_21_00507","PPO.Godbout.2021","COI",TRUE,"Not artefactual",2435,7
"261","ADE_21_00508","PPO.Godbout.2021","COI",TRUE,"Not artefactual",4614,25
"262","ADE_21_00509","PPO.Godbout.2021","COI",TRUE,"Not artefactual",6411,42
"263","ADE_21_00510","PPO.Godbout.2021","COI",TRUE,"Not artefactual",4860,38
"264","ADE_21_00511","PPO.Godbout.2021","COI",TRUE,"Not artefactual",7097,50
"266","ADE_21_00513","PPO.Godbout.2021","COI",TRUE,"Not artefactual",6338,29
"267","ADE_21_00514","PPO.Godbout.2021","COI",TRUE,"Not artefactual",4386,36
"268","ADE_21_00515","PPO.Godbout.2021","COI",TRUE,"Not artefactual",7744,24
"269","ADE_21_00516","PPO.Godbout.2021","COI",TRUE,"Not artefactual",11450,17
"270","ADE_21_00517","PPO.Godbout.2021","COI",TRUE,"Not artefactual",8371,29
"271","ADE_21_00518","PPO.Godbout.2021","COI",TRUE,"Not artefactual",18617,49
"272","ADE_21_00519","PPO.Godbout.2021","COI",TRUE,"Not artefactual",5384,76
"273","ADE_21_00520","PPO.Godbout.2021","COI",TRUE,"Not artefactual",7538,97
"274","ADE_21_00521","PPO.Godbout.2021","COI",TRUE,"Not artefactual",15859,74
"276","ADE_21_00523","PPO.Godbout.2021","COI",TRUE,"Not artefactual",4926,23
"277","ADE_21_00524","PPO.Godbout.2021","COI",TRUE,"Not artefactual",13070,128
"279","ADE_21_00526","PPO.Godbout.2021","COI",TRUE,"Not artefactual",3564,41
"280","ADE_21_00527","PPO.Godbout.2021","COI",TRUE,"Not artefactual",14403,70
"282","ADE_21_00529","PPO.Godbout.2021","COI",TRUE,"Not artefactual",3258,20
"283","ADE_21_00530","PPO.Godbout.2021","COI",TRUE,"Not artefactual",15969,70
"286","ADE_21_00533","PPO.Godbout.2021","COI",TRUE,"Not artefactual",10249,31
"288","ADE_21_00535","PPO.Godbout.2021","COI",TRUE,"Not artefactual",4566,36
"291","ADE_21_00538","PPO.Godbout.2021","COI",TRUE,"Not artefactual",6297,17
"292","ADE_21_00539","PPO.Godbout.2021","COI",TRUE,"Not artefactual",5409,42
"293","ADE_21_00541","PPO.Godbout.2021","COI",TRUE,"Not artefactual",1267,6
"294","ADE_21_00542","PPO.Godbout.2021","COI",TRUE,"Not artefactual",5338,31
"295","ADE_21_00543","PPO.Godbout.2021","COI",TRUE,"Not artefactual",8104,40
"297","ADE_21_00545","PPO.Godbout.2021","COI",TRUE,"Not artefactual",18477,37
"298","ADE_21_00546","PPO.Godbout.2021","COI",TRUE,"Not artefactual",5763,58
"299","ADE_21_00547","PPO.Godbout.2021","COI",TRUE,"Not artefactual",7395,45
"300","ADE_21_00548","PPO.Godbout.2021","COI",TRUE,"Not artefactual",9173,59
"303","ADE_21_00551","PPO.Godbout.2021","COI",TRUE,"Not artefactual",6678,30
"304","ADE_21_00552","PPO.Godbout.2021","COI",TRUE,"Not artefactual",6930,80
"305","ADE_21_00553","PPO.Godbout.2021","COI",TRUE,"Not artefactual",9136,66
"306","ADE_21_00554","PPO.Godbout.2021","COI",TRUE,"Not artefactual",5775,40
"308","ADE_21_00556","PPO.Godbout.2021","COI",TRUE,"Not artefactual",7361,35
"309","ADE_21_00557","PPO.Godbout.2021","COI",TRUE,"Not artefactual",2259,11
"310","ADE_21_00558","PPO.Godbout.2021","COI",TRUE,"Not artefactual",1836,7
"311","ADE_21_00559","PPO.Godbout.2021","COI",TRUE,"Not artefactual",7688,33
