"","X","ID_ADNe","Site","ID_reception","Latitude","Longitude","Depth_CTD","Tide","Depth_m","Temperature","Salinity","Date","Project","Locus"
"132",132,"ADE_21_00430","Godbout","6M4-a",49.3020269740373,-67.698108041659,"8.16",1.9,6.26,"10.44","27.97","2021-08-24","PPO.Godbout.2021","COI"
"136",136,"ADE_21_00431","Godbout","6M4-c",49.3020269740373,-67.698108041659,"8.16",1.9,6.26,"10.44","27.97","2021-08-24","PPO.Godbout.2021","COI"
"140",140,"ADE_21_00432","Godbout","2M4-a",49.3024429678917,-67.6983200199902,"6.26",2.9,3.36,"9.61","28.3","2021-08-24","PPO.Godbout.2021","COI"
"144",144,"ADE_21_00433","Godbout","11M2-a",49.3003419600427,-67.6990110240877,"12.3",2.1,10.2,"11.75","27.43","2021-08-24","PPO.Godbout.2021","COI"
"148",148,"ADE_21_00434","Godbout","6M4-b",49.3020240403712,-67.6985119655728,"5.99",1.6,4.39,"4.34","28.25","2021-05-31","PPO.Godbout.2021","COI"
"152",152,"ADE_21_00435","Godbout","6M1-c",49.3024350050837,-67.6994880381972,"4.9400000000000004",1.1,3.84,"6.45","26.8","2021-05-31","PPO.Godbout.2021","COI"
"156",156,"ADE_21_00436","Godbout","6M3-b",49.3022029940039,-67.698974981904,"5.68",1.6,4.08,"5.13","27.7","2021-05-31","PPO.Godbout.2021","COI"
"160",160,"ADE_21_00437","Godbout","10M1-b",49.3010130152106,-67.6995059754699,"10.68",2,8.68,"3.57","28.7","2021-05-31","PPO.Godbout.2021","COI"
"164",164,"ADE_21_00438","Godbout","6M2-c",49.3022920098156,-67.6992660015821,"5.7",1.1,4.6,"6.04","27.2","2021-05-31","PPO.Godbout.2021","COI"
"168",168,"ADE_21_00439","Godbout","6M4-a",49.3020240403712,-67.6985119655728,"5.99",1.6,4.39,"4.34","28.25","2021-05-31","PPO.Godbout.2021","COI"
"172",172,"ADE_21_00440","Godbout","10M4-b",49.3007990252227,-67.6981600094587,"11.56",2.4,9.16,"3.18","29.06","2021-05-31","PPO.Godbout.2021","COI"
"176",176,"ADE_21_00441","Godbout","10M4-c",49.3007990252227,-67.6981600094587,"11.56",2.4,9.16,"3.18","29.06","2021-05-31","PPO.Godbout.2021","COI"
"180",180,"ADE_21_00442","Godbout","10M1-a",49.3010130152106,-67.6995059754699,"10.68",2,8.68,"3.57","28.7","2021-05-31","PPO.Godbout.2021","COI"
"184",184,"ADE_21_00443","Godbout","10M2-a",49.3010039627552,-67.6990540232509,"11.07",2.3,8.77,"3.31","28.93","2021-05-31","PPO.Godbout.2021","COI"
"188",188,"ADE_21_00444","Godbout","10M3-c",49.3011590279639,-67.6987029891461,"11.23",2.3,8.93,"3.32","28.92","2021-05-31","PPO.Godbout.2021","COI"
"192",192,"ADE_21_00445","Godbout","10M2-c",49.3010039627552,-67.6990540232509,"11.07",2.3,8.77,"3.31","28.93","2021-05-31","PPO.Godbout.2021","COI"
"196",196,"ADE_21_00446","Godbout","10M2-b",49.3010039627552,-67.6990540232509,"11.07",2.3,8.77,"3.31","28.93","2021-05-31","PPO.Godbout.2021","COI"
"200",200,"ADE_21_00447","Godbout","10M1-c",49.3010130152106,-67.6995059754699,"10.68",2,8.68,"3.57","28.7","2021-05-31","PPO.Godbout.2021","COI"
"204",204,"ADE_21_00448","Godbout","6M2-a",49.3022920098156,-67.6992660015821,"5.7",1.1,4.6,"6.04","27.2","2021-05-31","PPO.Godbout.2021","COI"
"208",208,"ADE_21_00449","Godbout","6M3-a",49.3022029940039,-67.698974981904,"5.68",1.6,4.08,"5.13","27.7","2021-05-31","PPO.Godbout.2021","COI"
"216",216,"ADE_21_00451","Godbout","6M3-c",49.3022029940039,-67.698974981904,"5.68",1.6,4.08,"5.13","27.7","2021-05-31","PPO.Godbout.2021","COI"
"220",220,"ADE_21_00452","Godbout","6M1-a",49.3024350050837,-67.6994880381972,"4.9400000000000004",1.1,3.84,"6.45","26.8","2021-05-31","PPO.Godbout.2021","COI"
"224",224,"ADE_21_00453","Godbout","10M4-a",49.3007990252227,-67.6981600094587,"11.56",2.4,9.16,"3.18","29.06","2021-05-31","PPO.Godbout.2021","COI"
"228",228,"ADE_21_00454","Godbout","10M3-b",49.3011590279639,-67.6987029891461,"11.23",2.3,8.93,"3.32","28.92","2021-05-31","PPO.Godbout.2021","COI"
"232",232,"ADE_21_00456","Godbout","10M3-a",49.3011590279639,-67.6987029891461,"11.23",2.3,8.93,"3.32","28.92","2021-05-31","PPO.Godbout.2021","COI"
"236",236,"ADE_21_00457","Godbout","6M1-b",49.3024350050837,-67.6994880381972,"4.9400000000000004",1.1,3.84,"6.45","26.8","2021-05-31","PPO.Godbout.2021","COI"
"240",240,"ADE_21_00458","Godbout","6M4-c",49.3020240403712,-67.6985119655728,"5.99",1.6,4.39,"4.34","28.25","2021-05-31","PPO.Godbout.2021","COI"
"244",244,"ADE_21_00459","Godbout","14M4-c",49.2990750353783,-67.6980799622834,"17.66",2.8,14.86,"1.79","30.85","2021-06-03","PPO.Godbout.2021","COI"
"248",248,"ADE_21_00460","Godbout","2M2-b",49.3027289584279,-67.6986409630626,"4.3499999999999996",2.8,1.55,"7.06","26.39","2021-06-03","PPO.Godbout.2021","COI"
"252",252,"ADE_21_00461","Godbout","2M1-a",49.3027430400252,-67.6989779993892,"4.7699999999999996",2.8,1.97,"6.5","26.74","2021-06-03","PPO.Godbout.2021","COI"
"256",256,"ADE_21_00462","Godbout","11M2-a",49.3004980310798,-67.6984900049865,"12.19",2.2,9.99,"3.76","28.92","2021-06-03","PPO.Godbout.2021","COI"
"268",268,"ADE_21_00465","Godbout","14M4-b",49.2990750353783,-67.6980799622834,"17.66",2.8,14.86,"1.79","30.85","2021-06-03","PPO.Godbout.2021","COI"
"272",272,"ADE_21_00466","Godbout","2M4-c",49.3023550417274,-67.6979860011488,"6.15",2.6,3.55,"8.81","25.39","2021-06-03","PPO.Godbout.2021","COI"
"276",276,"ADE_21_00467","Godbout","14M4-a",49.2990750353783,-67.6980799622834,"17.66",2.8,14.86,"1.79","30.85","2021-06-03","PPO.Godbout.2021","COI"
"280",280,"ADE_21_00468","Godbout","20M4-b",49.2987400107086,-67.6982600055635,"21.37",2.6,18.77,"1.54","30.8","2021-06-03","PPO.Godbout.2021","COI"
"284",284,"ADE_21_00469","Godbout","14M3-c",49.2990489676595,-67.698634006083,"18.28",2.8,15.48,"1.36","31.12","2021-06-03","PPO.Godbout.2021","COI"
"288",288,"ADE_21_00470","Godbout","2M4-b",49.3023550417274,-67.6979860011488,"6.15",2.6,3.55,"8.81","25.39","2021-06-03","PPO.Godbout.2021","COI"
"292",292,"ADE_21_00471","Godbout","2M1-c",49.3027430400252,-67.6989779993892,"4.7699999999999996",2.8,1.97,"6.5","26.74","2021-06-03","PPO.Godbout.2021","COI"
"296",296,"ADE_21_00472","Godbout","14M1-b",49.2992180306464,-67.699617035687,"18.670000000000002",2.6,16.07,"2.0499999999999998","30.46","2021-06-03","PPO.Godbout.2021","COI"
"300",300,"ADE_21_00473","Godbout","14M3-a",49.2990489676595,-67.698634006083,"18.28",2.8,15.48,"1.36","31.12","2021-06-03","PPO.Godbout.2021","COI"
"308",308,"ADE_21_00475","Godbout","11M1-b",49.300606995821,-67.6987810246646,"12.3",2.2,10.1,"3.44","29.21","2021-06-03","PPO.Godbout.2021","COI"
"312",312,"ADE_21_00476","Godbout","14M2-c",49.2990909609944,-67.6989629957825,"18.66",2.6,16.06,"1.31","31.17","2021-06-03","PPO.Godbout.2021","COI"
"316",316,"ADE_21_00477","Godbout","2M2-c",49.3027289584279,-67.6986409630626,"4.3499999999999996",2.8,1.55,"7.06","26.39","2021-06-03","PPO.Godbout.2021","COI"
"324",324,"ADE_21_00479","Godbout","2M3-a",49.3026820197701,-67.6983819622546,"3.5",2.8,0.7,"8.51","25.6","2021-06-03","PPO.Godbout.2021","COI"
"328",328,"ADE_21_00480","Godbout","14M2-a",49.2990909609944,-67.6989629957825,"18.66",2.6,16.06,"1.31","31.17","2021-06-03","PPO.Godbout.2021","COI"
"332",332,"ADE_21_00481","Godbout","14M3-b",49.2990489676595,-67.698634006083,"18.28",2.8,15.48,"1.36","31.12","2021-06-03","PPO.Godbout.2021","COI"
"340",340,"ADE_21_00483","Godbout","2M2-a",49.3027289584279,-67.6986409630626,"4.3499999999999996",2.8,1.55,"7.06","26.39","2021-06-03","PPO.Godbout.2021","COI"
"344",344,"ADE_21_00484","Godbout","2M3-b",49.3026820197701,-67.6983819622546,"3.5",2.8,0.7,"8.51","25.6","2021-06-03","PPO.Godbout.2021","COI"
"348",348,"ADE_21_00485","Godbout","2M1-b",49.3027430400252,-67.6989779993892,"4.7699999999999996",2.8,1.97,"6.5","26.74","2021-06-03","PPO.Godbout.2021","COI"
"356",356,"ADE_21_00487","Godbout","20M4-c",49.2987400107086,-67.6982600055635,"21.37",2.6,18.77,"1.54","30.8","2021-06-03","PPO.Godbout.2021","COI"
"360",360,"ADE_21_00488","Godbout","11M1-a",49.300606995821,-67.6987810246646,"12.3",2.2,10.1,"3.44","29.21","2021-06-03","PPO.Godbout.2021","COI"
"364",364,"ADE_21_00489","Godbout","40M1-a",49.2948440182954,-67.6989999599755,"36.840000000000003",1.9,34.94,"1.01","31.35","2021-06-03","PPO.Godbout.2021","COI"
"368",368,"ADE_21_00490","Godbout","11M4-a",49.3002920038998,-67.6980160083622,"12.23",1.8,10.43,"3.7","28.81","2021-06-03","PPO.Godbout.2021","COI"
"372",372,"ADE_21_00491","Godbout","11M4-c",49.3002920038998,-67.6980160083622,"12.23",1.8,10.43,"3.7","28.81","2021-06-03","PPO.Godbout.2021","COI"
"376",376,"ADE_21_00492","Godbout","11M4-b",49.3002920038998,-67.6980160083622,"12.23",1.8,10.43,"3.7","28.81","2021-06-03","PPO.Godbout.2021","COI"
"380",380,"ADE_21_00493","Godbout","11M3-a",49.3004090152681,-67.6982829719782,"12.76",1.8,10.96,"3.78","28.91","2021-06-03","PPO.Godbout.2021","COI"
"384",384,"ADE_21_00494","Godbout","11M2-c",49.3004980310798,-67.6984900049865,"12.19",2.2,9.99,"3.76","28.92","2021-06-03","PPO.Godbout.2021","COI"
