"","X","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo","locus","project"
"84","Residual",57,12015.7630219824,NA,NA,NA,NA,"Complete","Hellinger-Mahalanobis","MiFishU","BDA"
"85","Longitude",1,765.44819308118,3.63110914602815,0.048,0.0489975602590316,0.0367279991616849,"pRDA","Hellinger-Mahalanobis","MiFishU","BDA"
"86","Latitude",1,105.197954875954,0.499034761001808,0.512,0.00673387948732408,-0.00699304991249505,"pRDA","Hellinger-Mahalanobis","MiFishU","BDA"
"87","Depth_m",1,735.8991353565,3.49093525218343,0.059,0.0471060783750154,0.0347712937644269,"pRDA","Hellinger-Mahalanobis","MiFishU","BDA"
"88","Residual1",57,12015.7630219824,NA,NA,NA,NA,"pRDA","Hellinger-Mahalanobis","MiFishU","BDA"
"89","Complete_model",5,0.206612166471968,1.19210579050731,0.159,0.284369204900969,0.0458256065346255,"Complete","Hellinger","MiFishU","PPO.Leim.VRoy.2019"
"90","Residual",15,0.519950917403165,NA,NA,NA,NA,"Complete","Hellinger","MiFishU","PPO.Leim.VRoy.2019"
"91","Longitude",1,0.0481523092233328,1.38914004028949,0.164,0.066274092769084,0.0232067163697691,"pRDA","Hellinger","MiFishU","PPO.Leim.VRoy.2019"
"92","Latitude",1,0.0466356942380646,1.34538740130456,0.182,0.0641867103807863,0.020597488384397,"pRDA","Hellinger","MiFishU","PPO.Leim.VRoy.2019"
"93","Depth_m",1,0.0437843974285658,1.26313069069794,0.206,0.0602623480332095,0.015692035449926,"pRDA","Hellinger","MiFishU","PPO.Leim.VRoy.2019"
"94","Temperature",1,0.0129899557412071,0.374745633859555,0.984,0.0178786343945868,-0.0372876065983526,"pRDA","Hellinger","MiFishU","PPO.Leim.VRoy.2019"
"95","Salinity",1,0.0193396188793955,0.557926283964984,0.894,0.0266179486800333,-0.0263634637415443,"pRDA","Hellinger","MiFishU","PPO.Leim.VRoy.2019"
"96","Residual1",15,0.519950917403165,NA,NA,NA,NA,"pRDA","Hellinger","MiFishU","PPO.Leim.VRoy.2019"
"97","Complete_model",5,4677.60417829713,0.98113243953045,0.443,0.246445566539898,-0.00473924461346886,"Complete","Hellinger-Mahalanobis","MiFishU","PPO.Leim.VRoy.2019"
"98","Residual",15,14302.6690072619,NA,NA,NA,NA,"Complete","Hellinger-Mahalanobis","MiFishU","PPO.Leim.VRoy.2019"
"99","Longitude",1,482.103341223727,0.505608436766889,0.658,0.0254002319413664,-0.0310459128616339,"pRDA","Hellinger-Mahalanobis","MiFishU","PPO.Leim.VRoy.2019"
"100","Latitude",1,437.457293788762,0.458785657662902,0.671,0.0230479977559854,-0.03398620559336,"pRDA","Hellinger-Mahalanobis","MiFishU","PPO.Leim.VRoy.2019"
"101","Depth_m",1,473.048188391227,0.496111797194336,0.646,0.0249231496178428,-0.031642265766038,"pRDA","Hellinger-Mahalanobis","MiFishU","PPO.Leim.VRoy.2019"
"102","Temperature",1,50.8902235047772,0.0533713918838562,0.999,0.00268121659826734,-0.0594446820405077,"pRDA","Hellinger-Mahalanobis","MiFishU","PPO.Leim.VRoy.2019"
"103","Salinity",1,52.1135490011438,0.054654360988167,0.995,0.00274566906870326,-0.0593641164524629,"pRDA","Hellinger-Mahalanobis","MiFishU","PPO.Leim.VRoy.2019"
"104","Residual1",15,14302.6690072619,NA,NA,NA,NA,"pRDA","Hellinger-Mahalanobis","MiFishU","PPO.Leim.VRoy.2019"
"105","Complete_model",5,0.254173193931777,3.00478168210893,0.005,0.441569152763428,0.294613666648541,"Complete","Hellinger","MiFishU","Godbout_Fall"
"106","Residual",19,0.321440370424135,NA,NA,NA,NA,"Complete","Hellinger","MiFishU","Godbout_Fall"
"107","Longitude",1,0.0733971438422452,4.33842746996147,0.008,0.00462424565189183,-0.000392690734318135,"pRDA","Hellinger","MiFishU","Godbout_Fall"
"108","Latitude",1,0.136011984533198,8.03952441543329,0.001,0.0122460285859288,0.0074073795198133,"pRDA","Hellinger","MiFishU","Godbout_Fall"
"109","Depth_m",1,0.122552254869693,7.24393404428869,0.001,0.0132148372996522,0.00839885042567079,"pRDA","Hellinger","MiFishU","Godbout_Fall"
"110","Temperature",1,0.0477042223264694,2.81974607920893,0.047,0.0323670694962412,0.0279990880537586,"pRDA","Hellinger","MiFishU","Godbout_Fall"
"111","Salinity",1,0.0464719586214339,2.74690827615145,0.036,0.0275966767713893,0.0231171071949922,"pRDA","Hellinger","MiFishU","Godbout_Fall"
"112","Residual1",19,0.321440370424135,NA,NA,NA,NA,"pRDA","Hellinger","MiFishU","Godbout_Fall"
"113","Complete_model",5,824.6882727924,1.78549931608927,0.152,0.319666911594826,0.140631888330306,"Complete","Hellinger-Mahalanobis","MiFishU","Godbout_Fall"
"114","Residual",19,1755.14793445848,NA,NA,NA,NA,"Complete","Hellinger-Mahalanobis","MiFishU","Godbout_Fall"
"115","Longitude",1,308.002244148486,3.33421617855065,0.056,0.00166319120902136,-0.00257070156183647,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Fall"
"116","Latitude",1,302.083815545189,3.27014742328795,0.057,0.0070500730934969,0.0029421892556093,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Fall"
"117","Depth_m",1,317.388225842363,3.43582223048649,0.054,0.0195276425539134,0.0157116316858601,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Fall"
"118","Temperature",1,251.690605234851,2.72462588798111,0.094,0.0210573313327956,0.0172771026584003,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Fall"
"119","Salinity",1,116.768053669077,1.26404901612864,0.268,0.0192439664534101,0.0154213198870993,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Fall"
"120","Residual1",19,1755.14793445848,NA,NA,NA,NA,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Fall"
"121","Complete_model",5,0.103557584762219,2.44837957715129,0.001,0.164892038517042,0.0975446222684165,"Complete","Hellinger","MiFishU","Godbout_Spring"
"122","Residual",62,0.524475070383324,NA,NA,NA,NA,"Complete","Hellinger","MiFishU","Godbout_Spring"
"123","Longitude",1,0.0121302520509835,1.4339587706453,0.178,0.00462424565189183,-0.000392690734318135,"pRDA","Hellinger","MiFishU","Godbout_Spring"
"124","Latitude",1,0.00581372223120358,0.687260079056148,0.702,0.0122460285859288,0.0074073795198133,"pRDA","Hellinger","MiFishU","Godbout_Spring"
"125","Depth_m",1,0.00868243259393353,1.02638018701336,0.388,0.0132148372996522,0.00839885042567079,"pRDA","Hellinger","MiFishU","Godbout_Spring"
"126","Temperature",1,0.00761923107943796,0.90069548316166,0.507,0.0323670694962412,0.0279990880537586,"pRDA","Hellinger","MiFishU","Godbout_Spring"
"127","Salinity",1,0.00555179938987316,0.656297280098674,0.738,0.0275966767713893,0.0231171071949922,"pRDA","Hellinger","MiFishU","Godbout_Spring"
"128","Residual1",62,0.524475070383324,NA,NA,NA,NA,"pRDA","Hellinger","MiFishU","Godbout_Spring"
"129","Complete_model",5,8217.6844360159,7.29926346188448,0.001,0.370534838273355,0.31977151877927,"Complete","Hellinger-Mahalanobis","MiFishU","Godbout_Spring"
"130","Residual",62,13960.2149639752,NA,NA,NA,NA,"Complete","Hellinger-Mahalanobis","MiFishU","Godbout_Spring"
"131","Longitude",1,214.189293089732,0.951255851420066,0.339,0.00166319120902136,-0.00257070156183647,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Spring"
"132","Latitude",1,156.92462213806,0.696932432463723,0.412,0.0070500730934969,0.0029421892556093,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Spring"
"133","Depth_m",1,354.054013965531,1.57242198078677,0.191,0.0195276425539134,0.0157116316858601,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Spring"
"134","Temperature",1,463.683094546903,2.05930581556903,0.133,0.0210573313327956,0.0172771026584003,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Spring"
"135","Salinity",1,225.820971649649,1.00291437333938,0.308,0.0192439664534101,0.0154213198870993,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Spring"
"136","Residual1",62,13960.2149639752,NA,NA,NA,NA,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Spring"
"137","Complete_model",5,0.0865629930340254,3.23448364623344,0.001,0.173575165777936,0.119911215503776,"Complete","Hellinger","MiFishU","Godbout_Summer"
"138","Residual",77,0.412143092538542,NA,NA,NA,NA,"Complete","Hellinger","MiFishU","Godbout_Summer"
"139","Longitude",1,0.00453266220363424,0.846829647271592,0.602,0.00462424565189183,-0.000392690734318135,"pRDA","Hellinger","MiFishU","Godbout_Summer"
"140","Latitude",1,0.0114876541198595,2.14621907595469,0.021,0.0122460285859288,0.0074073795198133,"pRDA","Hellinger","MiFishU","Godbout_Summer"
"141","Depth_m",1,0.00909102197290512,1.69846032746074,0.055,0.0132148372996522,0.00839885042567079,"pRDA","Hellinger","MiFishU","Godbout_Summer"
