",""ID_ADNe"",""Site"",""ID_reception"",""Latitude"",""Longitude"",""Depth_CTD"",""Tide"",""Depth_m"",""Temperature"",""Salinity"",""Date"",""Project"",""Locus"""
"40,""ADE_21_00407"",""Godbout"",""6M1-a"",""49.302311958745122"",""-67.698942041024566"",""7.42"",""2.5"",4.92,""8.64"",""28.5"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"41,""ADE_21_00408"",""Godbout"",""2M2-c"",""49.302706997841597"",""-67.698806002736092"",""3.92"",""2.9"",1.02,""13.15"",""27.06"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"42,""ADE_21_00408"",""Godbout"",""2M2-c"",""49.302706997841597"",""-67.698806002736092"",""3.92"",""2.9"",1.02,""13.15"",""27.06"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"43,""ADE_21_00408"",""Godbout"",""2M2-c"",""49.302706997841597"",""-67.698806002736092"",""3.92"",""2.9"",1.02,""13.15"",""27.06"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"44,""ADE_21_00408"",""Godbout"",""2M2-c"",""49.302706997841597"",""-67.698806002736092"",""3.92"",""2.9"",1.02,""13.15"",""27.06"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"45,""ADE_21_00409"",""Godbout"",""6M2-b"",""49.302179021760821"",""-67.698579020798206"",""6.79"",""2.5"",4.29,""10.039999999999999"",""28.14"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"46,""ADE_21_00409"",""Godbout"",""6M2-b"",""49.302179021760821"",""-67.698579020798206"",""6.79"",""2.5"",4.29,""10.039999999999999"",""28.14"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"47,""ADE_21_00409"",""Godbout"",""6M2-b"",""49.302179021760821"",""-67.698579020798206"",""6.79"",""2.5"",4.29,""10.039999999999999"",""28.14"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"48,""ADE_21_00409"",""Godbout"",""6M2-b"",""49.302179021760821"",""-67.698579020798206"",""6.79"",""2.5"",4.29,""10.039999999999999"",""28.14"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"49,""ADE_21_00410"",""Godbout"",""6M2-c"",""49.302179021760821"",""-67.698579020798206"",""6.79"",""2.5"",4.29,""10.039999999999999"",""28.14"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
